X,Y,Hover,Angles,XY,S1,S2,S3,XX,YY
2,2,0,9:160:94,311 127,9,160,94,311,127
2,2,1,10:153:100,312 127,10,153,100,312,127
3,2,0,19:155:96,349 128,19,155,96,349,128
3,2,1,19:146:102,350 128,19,146,102,350,128
4,2,0,30:154:91,387 127,30,154,91,387,127
4,2,1,31:145:98,388 127,31,145,98,388,127
5,2,0,41:158:92,424 125,41,158,92,424,125
5,2,1,41:143:93,424 125,41,143,93,424,125
6,2,0,54:146:81,462 125,54,146,81,462,125
6,2,1,54:140:90,463 125,54,140,90,463,125
7,2,0,67:145:87,499 124,67,145,87,499,124
7,2,1,68:139:97,500 124,68,139,97,500,124
8,2,0,76:149:87,538 125,76,149,87,538,125
8,2,1,76:138:89,539 125,76,138,89,539,125
9,2,0,94:145:82,575 122,94,145,82,575,122
9,2,1,91:137:92,576 122,91,137,92,576,122
10,2,0,104:146:82,613 122,104,146,82,613,122
10,2,1,104:142:89,614 122,104,142,89,614,122
11,2,0,118:148:87,650 122,118,148,87,650,122
11,2,1,116:142:91,651 122,116,142,91,651,122
12,2,0,131:154:87,688 122,131,154,87,688,122
12,2,1,126:142:92,689 122,126,142,92,689,122
13,2,0,141:157:89,725 122,141,157,89,725,122
13,2,1,141:145:94,726 122,141,145,94,726,122
14,2,0,150:160:97,764 120,150,160,97,764,120
14,2,1,151:154:107,765 120,151,154,107,765,120
2,3,0,2:156:92,311 165,2,156,92,311,165
2,3,1,3:146:97,311 165,3,146,97,311,165
3,3,0,12:149:84,348 164,12,149,84,348,164
3,3,1,15:144:97,348 164,15,144,97,348,164
4,3,0,24:146:82,388 163,24,146,82,388,163
4,3,1,26:140:93,388 163,26,140,93,388,163
5,3,0,39:144:86,425 162,39,144,86,425,162
5,3,1,38:137:86,425 162,38,137,86,425,162
6,3,0,51:144:84,463 161,51,144,84,463,161
6,3,1,51:134:87,463 161,51,134,87,463,161
7,3,0,65:140:75,501 160,65,140,75,501,160
7,3,1,64:135:91,501 160,64,135,91,501,160
8,3,0,76:146:79,539 160,76,146,79,539,160
8,3,1,76:131:85,539 160,76,131,85,539,160
9,3,0,95:143:82,575 160,95,143,82,575,160
9,3,1,91:138:92,575 160,91,138,92,575,160
10,3,0,110:143:71,615 159,110,143,71,615,159
10,3,1,107:135:89,615 159,107,135,89,615,159
11,3,0,123:144:81,652 159,123,144,81,652,159
11,3,1,120:137:89,652 159,120,137,89,652,159
12,3,0,132:146:83,690 157,132,146,83,690,157
12,3,1,134:137:88,690 157,134,137,88,690,157
13,3,0,148:149:86,728 157,148,149,86,728,157
13,3,1,146:142:94,728 157,146,142,94,728,157
14,3,0,160:154:92,766 156,160,154,92,766,156
14,3,1,155:144:95,766 156,155,144,95,766,156
2,4,0,86:153:0,313 202,0,153,86,313,202
2,4,1,96:140:3,313 202,3,140,96,313,202
3,4,0,82:149:14,349 200,14,149,82,349,200
3,4,1,89:145:16,349 200,16,145,89,349,200
4,4,0,78:145:29,389 200,29,145,78,389,200
4,4,1,86:143:28,389 200,28,143,86,389,200
5,4,0,75:144:42,426 200,42,144,75,426,200
5,4,1,85:135:42,426 200,42,135,85,426,200
6,4,0,73:140:53,464 199,53,140,73,464,199
6,4,1,81:131:54,464 199,54,131,81,464,199
7,4,0,62:137:71,502 197,71,137,62,502,197
7,4,1,80:129:71,502 197,71,129,80,502,197
8,4,0,63:141:86,540 196,86,141,63,540,196
8,4,1,77:133:92,540 196,92,133,77,540,196
9,4,0,66:140:104,577 195,104,140,66,577,195
9,4,1,80:130:104,577 195,104,130,80,577,195
10,4,0,73:143:119,615 195,119,143,73,615,195
10,4,1,83:136:123,615 195,123,136,83,615,195
11,4,0,74:145:136,653 195,136,145,74,653,195
11,4,1,86:140:134,653 195,134,140,86,653,195
12,4,0,72:144:149,691 193,149,144,72,691,193
12,4,1,81:134:149,691 193,149,134,81,691,193
13,4,0,78:147:164,731 193,164,147,78,731,193
13,4,1,89:140:164,731 193,164,140,89,731,193
3,5,0,76:145:4,351 238,4,145,76,351,238
3,5,1,83:140:4,351 238,4,140,83,351,238
4,5,0,64:140:21,389 236,21,140,64,389,236
4,5,1,76:129:19,389 236,19,129,76,389,236
5,5,0,60:143:34,428 235,34,143,60,428,235
5,5,1,75:130:34,428 235,34,130,75,428,235
6,5,0,53:135:52,464 236,52,135,53,464,236
6,5,1,77:129:52,464 236,52,129,77,464,236
7,5,0,50:136:66,503 233,66,136,50,503,233
7,5,1,74:120:66,503 233,66,120,74,503,233
8,5,0,50:137:87,541 232,87,137,50,541,232
8,5,1,76:121:86,541 232,86,121,76,541,232
9,5,0,49:146:103,579 232,103,146,49,579,232
9,5,1,72:123:107,579 232,107,123,72,579,232
10,5,0,53:134:126,617 231,126,134,53,617,231
10,5,1,76:124:126,617 231,126,124,76,617,231
11,5,0,63:139:137,657 230,137,139,63,657,230
11,5,1,76:127:137,657 230,137,127,76,657,230
12,5,0,70:139:155,694 228,155,139,70,694,228
12,5,1,82:132:155,694 228,155,132,82,694,228
13,5,0,74:142:170,732 228,170,142,74,732,228
13,5,1,84:135:168,732 228,168,135,84,732,228
3,6,0,65:139:0,351 274,0,139,65,351,274
3,6,1,65:129:1,351 274,1,129,65,351,274
4,6,0,51:134:13,389 273,13,134,51,389,273
4,6,1,51:124:14,389 273,14,124,51,389,273
5,6,0,43:138:29,427 271,29,138,43,427,271
5,6,1,43:128:30,427 271,30,128,43,427,271
6,6,0,39:132:45,466 270,45,132,39,466,270
6,6,1,39:122:46,466 270,46,122,39,466,270
7,6,0,44:136:68,504 269,68,136,44,504,269
7,6,1,44:126:69,504 269,69,126,44,504,269
8,6,0,39:132:88,543 269,88,132,39,543,269
8,6,1,39:122:89,543 269,89,122,39,543,269
9,6,0,40:128:108,581 268,108,128,40,581,268
9,6,1,40:118:109,581 268,109,118,40,581,268
10,6,0,36:129:134,620 266,134,129,36,620,266
10,6,1,36:119:135,620 266,135,119,36,620,266
11,6,0,39:136:150,658 265,150,136,39,658,265
11,6,1,39:126:151,658 265,151,126,39,658,265
12,6,0,47:136:163,695 265,163,136,47,695,265
12,6,1,47:126:164,695 265,164,126,47,695,265
13,6,0,62:142:180,735 263,180,142,62,735,263
13,6,1,62:132:181,735 263,181,132,62,735,263
